thickness,vp,vs,density,depth,position
0.0,350.0,150.0,2000.0,0.0,0.0
1.7114104687843508,345.7049146944389,193.49815962815651,2000.0,1.7114104687843508,0.0
7.767160271660886,963.4009124871272,250.62971319294095,2000.0,9.478570740445237,0.0
44.608772362061536,1600.2841958484607,483.32941506446383,2000.0,54.08734310250677,0.0
0.0,350.0,150.0,2000.0,0.0,5.0
1.1494742132376223,366.9727331099467,185.94792809625685,2000.0,1.1494742132376223,5.0
6.9340524495407365,434.60743401514765,226.8918098120133,2000.0,8.08352666277836,5.0
59.913080846416214,1665.262151339534,464.47006778732646,2000.0,67.99660750919458,5.0
0.0,350.0,150.0,2000.0,0.0,10.0
1.445076471427497,356.1801193145951,191.58233626550154,2000.0,1.445076471427497,10.0
3.3731747307855597,535.6066988953527,224.64535624951807,2000.0,4.818251202213057,10.0
12.235357335395948,579.9853054781529,341.18909694807587,2000.0,17.053608537609005,10.0
0.0,350.0,150.0,2000.0,0.0,15.0
1.2081089504435316,579.9853054781529,182.28401930816278,2000.0,1.2081089504435316,15.0
5.685694461185516,628.0409772027684,226.8918098120133,2000.0,6.893803411629047,15.0
36.55976286118292,3055.52901510809,404.0717594517364,2000.0,43.45356627281197,15.0
0.0,350.0,150.0,2000.0,0.0,20.0
1.1494742132376223,374.34888504545665,185.94792809625685,2000.0,1.1494742132376223,20.0
7.01488771616852,452.254238611973,226.8918098120133,2000.0,8.164361929406143,20.0
11.438321327224374,872.1542782139126,392.1880687796444,2000.0,19.602683256630517,20.0
